My legs,My arms,My hands,My tongue,My mouth,My lips,Supportive,Relaxed,Calm,My eyes
Relator,Analytical,Focused,Individualism,Learner,Determined,My feet,My legs,My eyes,Mu body
Dancing skill,Joyfulness,Relaxed,Focused,Analytical,Leader,Determined,Happy,Arms,Bíceps
Soccer skill,Intelligent,Happy,Passionate,My height,Strong,Optimistic,High performer,Achiever,Analytical
My music taste,Fit,My smile,My height,Simpathic,Strong,Analytical,Relator,Individualism,Focused
Relator,Reliable,My weight,Strong,Diplomatic,Sex drive,Sex performer,High performer,Learner,Empathetic
My height,Brilliant,Determined,Constant,Disciplined,My eyes,My legs,My Stamina,Pragmatic,My hair
My stamina,Strength,Running condition,Empathetic,Sex drive,My mustache,My teeth,Relator,Focused,Analytical
My weight,My health,Focused,High performer,Disciplined,My feet,Joyful,Energetic,Kindness,Humble
Intelligent,Influential,Strong,Disciplined,Organized,Relator,Leader,My legs,My Arms,My senses
Strong,Soccer passion,Soccer Skill,Focused,Learner,Analytical,Relator,Individualism,My senses,Happy
Relator,Focused,Analytical,Individualism,Learner,Intelligent,My arms,My legs,My abdomen,My senses
My weight,My stamina,Strength,My looks,My legs,My arms,My biceps,Focused,Determined,Relator
Resilience,My condition,My stamina,Strength,My legs,High sex drive,Relator,Influential,Focused,Analytical
My cooking skill,My eyes,My body,My stamina,High performer,My hands,Relator,Focused,Analytical,Joyful
Disciplined,My legs,My feet,My body,Energetic,My stamina,Strength,Good team member,Humble,My abdomen
Healthy,Strength,Mindfulness,Peaceful,Relaxed,Energetic,Positivity,Kindness,Loving,Disciplined
Focused,Relator,Analytical,Individualism,Learner,Curious,High performer,Joyful,Intelligent,Grateful
Strength,Stamina,My legs,My core,Determined,Focused,Learner,Caring,Kindness,Intelligent
My legs,Stamina,Strength,Flexible,Disciplined,Strong Will,Leader,Influential,Caring,High performer
My legs,My height,Stamina,My core,My eyes,Positivity,Resilient,Learner,Flexible,Focused
My vision,Agility,My core,Strength,Energetic,Carismatic,Leader,Influential,Coding skill,Disciplined
My legs,My chest,Strength,Energetic,Relaxed,Patient,Charismatic,My English skill,My posture,My smile
Disciplined,High performer,Focused,Relator,Reader,My brain,Intelligent,My legs,My back,My posture
Focused,Healthy,Mindfulness,High performer,Energetic,Peaceful,Joyful,Positivity,Team player,Humble
My height,My body,My legs,My calfs,Resilient,Perseverant,Humble,Energetic,High performer,Achiever
My feet,My strength,Stamina,My soccer skills,My leadership skill,Relator,Individualism,Energetic,Caring,Joyful
Mexican,Calm,Perseverant,Stamina,Healthy,My abdomen ,My legs,Intelligent,High EQ,My eyes
Relator,Relator,Focused,Learner,Analytical,Individualism,Curious,Empathetic,Good listener,Loving
Diplomatic,Listener,Patient,Grateful,Loving,Positivity,Caring,Kindness,Humble,My posture
Kindness,Humble,My body,Stamina,Strong,Intelligent,Relator,Individualism,Caring,Loving
My chest,My shoulders,My core,My weight,Strong,Stamina,My abdomen,Listener,Good friend,Intelligent
My legs,Stamina,My core,My calfs,My posture,My face,My skin color,Mexican,Strong,Disciplined
Stamina,My arms,My biceps,My triceps,Disciplined,High performer,Listener,Empathetic,Generous,Helpful
My height,My weight,My health,Disciplined,My posture,My smile,Listener,Sympathetic,Encouraging,Supportive
My body,Stamina,Strong,My back,My legs,Intelligent,Loving,Caring,High Performer,Relator
My legs,My feet,My strength,Stamina,Strong,Runner,Grateful,Patient,Positivity,Courage
My core,My smile,My brain,Mindfulness,Disciplined,High Performer,Patient,Flexibility,Happy,Mexican
My arms,My biceps,My triceps,Stamina,Disciplined,Courage,Loving,Humble,Learner,Curious
My legs,My calfs,My posture,Humble,My weight,Grateful,Loving,Caring,Empathetic,Listener
My chest,Stamina,Analytical,Patient,Joyful,My smile,Relator,Individualism,Good memory,Listener
My chest,My body,My feet,Strong,Stamina,Reflexive,Calm,Empathetic,High performer,Caring
High performer,My back,My legs,My abdomen,Strong,Joyful,Reflexive,Relator,Good memory,Intelligent
My body,My height,My smile,My eyes,Patient,Listener,Empathetic,Humble,Caring,Loving
My smile,Generous,Positivity,My smile,Resilient,Grateful,Loving,Caring,Empathetic,Strong
My biceps,My triceps,My arms,My posture,My height,Learner,Empathetic,Listener,Relator,Individualism
My legs,My calfs,Focused,Hard-wroker,Reader,Motivated,Disciplined,Kindness,Caring,Humble
My chest,Consistency,Disciplined,Strong,Reader,Focused,Relator,Analytical,Individualism,Learner
My chest,Stamina,Consistency,Disciplined,Strong,Sympathetic,Empathetic,Focused,Analytical,Humble
My legs,Stamina,Strong,Hard-worker,Analytical,Focused,Relator,Individualism,Listener,Empathetic
